iter	Passed	Remaining
0	1	121
1	2	109
2	3	104
3	4	103
4	5	99
5	6	95
6	7	93
7	7	91
8	8	89
9	9	87
10	10	86
11	11	84
12	12	83
13	13	81
14	14	80
15	15	79
16	16	78
17	16	76
18	17	75
19	18	74
20	19	73
21	20	71
22	21	70
23	21	69
24	22	68
25	23	67
26	24	65
27	25	64
28	25	63
29	26	62
30	27	61
31	28	60
32	29	59
33	30	58
34	31	57
35	31	56
36	32	55
37	33	54
38	34	54
39	35	53
40	36	52
41	37	51
42	38	50
43	38	49
44	39	48
45	40	47
46	41	46
47	42	45
48	43	45
49	44	44
50	45	43
51	45	42
52	46	41
53	47	40
54	48	39
55	49	38
56	50	37
57	50	36
58	51	35
59	52	35
60	53	34
61	54	33
62	55	32
63	56	31
64	56	30
65	57	29
66	58	28
67	59	27
68	60	27
69	61	26
70	61	25
71	62	24
72	63	23
73	64	22
74	65	21
75	65	20
76	66	19
77	67	19
78	68	18
79	69	17
80	69	16
81	70	15
82	71	14
83	72	13
84	73	12
85	73	12
86	74	11
87	75	10
88	76	9
89	77	8
90	77	7
91	78	6
92	79	5
93	80	5
94	81	4
95	81	3
96	82	2
97	83	1
98	84	0
99	85	0
